__time,/mti630/imu/angular_velocity/x,/mti630/imu/angular_velocity/y,/mti630/imu/angular_velocity/z,/mti630/imu/angular_velocity_covariance[0;0],/mti630/imu/angular_velocity_covariance[0;1],/mti630/imu/angular_velocity_covariance[0;2],/mti630/imu/angular_velocity_covariance[1;1],/mti630/imu/angular_velocity_covariance[1;2],/mti630/imu/angular_velocity_covariance[2;2],/mti630/imu/header/stamp,/mti630/imu/linear_acceleration/x,/mti630/imu/linear_acceleration/y,/mti630/imu/linear_acceleration/z,/mti630/imu/linear_acceleration_covariance[0;0],/mti630/imu/linear_acceleration_covariance[0;1],/mti630/imu/linear_acceleration_covariance[0;2],/mti630/imu/linear_acceleration_covariance[1;1],/mti630/imu/linear_acceleration_covariance[1;2],/mti630/imu/linear_acceleration_covariance[2;2],/mti630/imu/orientation/pitch_deg,/mti630/imu/orientation/roll_deg,/mti630/imu/orientation/w,/mti630/imu/orientation/x,/mti630/imu/orientation/y,/mti630/imu/orientation/yaw_deg,/mti630/imu/orientation/z,/mti630/imu/orientation_covariance[0;0],/mti630/imu/orientation_covariance[0;1],/mti630/imu/orientation_covariance[0;2],/mti630/imu/orientation_covariance[1;1],/mti630/imu/orientation_covariance[1;2],/mti630/imu/orientation_covariance[2;2],/triangulation_3D_pose/header/stamp,/triangulation_3D_pose/pose/covariance[0;0],/triangulation_3D_pose/pose/covariance[0;1],/triangulation_3D_pose/pose/covariance[0;2],/triangulation_3D_pose/pose/covariance[0;3],/triangulation_3D_pose/pose/covariance[0;4],/triangulation_3D_pose/pose/covariance[0;5],/triangulation_3D_pose/pose/covariance[1;1],/triangulation_3D_pose/pose/covariance[1;2],/triangulation_3D_pose/pose/covariance[1;3],/triangulation_3D_pose/pose/covariance[1;4],/triangulation_3D_pose/pose/covariance[1;5],/triangulation_3D_pose/pose/covariance[2;2],/triangulation_3D_pose/pose/covariance[2;3],/triangulation_3D_pose/pose/covariance[2;4],/triangulation_3D_pose/pose/covariance[2;5],/triangulation_3D_pose/pose/covariance[3;3],/triangulation_3D_pose/pose/covariance[3;4],/triangulation_3D_pose/pose/covariance[3;5],/triangulation_3D_pose/pose/covariance[4;4],/triangulation_3D_pose/pose/covariance[4;5],/triangulation_3D_pose/pose/covariance[5;5],/triangulation_3D_pose/pose/pose/orientation/pitch_deg,/triangulation_3D_pose/pose/pose/orientation/roll_deg,/triangulation_3D_pose/pose/pose/orientation/w,/triangulation_3D_pose/pose/pose/orientation/x,/triangulation_3D_pose/pose/pose/orientation/y,/triangulation_3D_pose/pose/pose/orientation/yaw_deg,/triangulation_3D_pose/pose/pose/orientation/z,/triangulation_3D_pose/pose/pose/position/x,/triangulation_3D_pose/pose/pose/position/y,/triangulation_3D_pose/pose/pose/position/z,/triangulation_3D_pose/twist/covariance[0;0],/triangulation_3D_pose/twist/covariance[0;1],/triangulation_3D_pose/twist/covariance[0;2],/triangulation_3D_pose/twist/covariance[0;3],/triangulation_3D_pose/twist/covariance[0;4],/triangulation_3D_pose/twist/covariance[0;5],/triangulation_3D_pose/twist/covariance[1;1],/triangulation_3D_pose/twist/covariance[1;2],/triangulation_3D_pose/twist/covariance[1;3],/triangulation_3D_pose/twist/covariance[1;4],/triangulation_3D_pose/twist/covariance[1;5],/triangulation_3D_pose/twist/covariance[2;2],/triangulation_3D_pose/twist/covariance[2;3],/triangulation_3D_pose/twist/covariance[2;4],/triangulation_3D_pose/twist/covariance[2;5],/triangulation_3D_pose/twist/covariance[3;3],/triangulation_3D_pose/twist/covariance[3;4],/triangulation_3D_pose/twist/covariance[3;5],/triangulation_3D_pose/twist/covariance[4;4],/triangulation_3D_pose/twist/covariance[4;5],/triangulation_3D_pose/twist/covariance[5;5],/triangulation_3D_pose/twist/twist/angular/x,/triangulation_3D_pose/twist/twist/angular/y,/triangulation_3D_pose/twist/twist/angular/z,/triangulation_3D_pose/twist/twist/linear/x,/triangulation_3D_pose/twist/twist/linear/y,/triangulation_3D_pose/twist/twist/linear/z
1690309417.997443,0.009035,0.010461,0.000470,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,1678344350.412568,10.586918,-0.391101,-0.473285,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,-86.744120,-105.392956,-0.559455,-0.398329,0.590654,176.498946,-0.423642,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690309418.006296,-0.007524,-0.026493,0.002689,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,1678344350.422568,9.279624,0.006950,-0.130839,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,-86.745169,-105.398006,-0.559391,-0.398429,0.590586,176.522405,-0.423727,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690309418.008078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1678315295.890614,0.000200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000200,0.000000,0.000000,0.000000,0.000000,0.000200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,-0.006101,2.003673,0.029841,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1690309418.014602,0.000186,0.000516,0.001121,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,1678344350.430068,10.836409,-0.465924,-0.168500,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,-86.744615,-105.418230,-0.559331,-0.398505,0.590544,176.556722,-0.423792,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690309418.023541,0.004535,0.007773,0.007167,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,1678344350.437568,9.467323,-0.149974,-0.500970,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,-86.744812,-105.330096,-0.559291,-0.398566,0.590467,176.484983,-0.423895,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690309418.032417,0.006635,0.023479,-0.005777,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,1678344350.445068,9.962509,-0.602463,-0.225879,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,-86.744253,-105.206020,-0.559254,-0.398616,0.590384,176.377538,-0.424012,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690309418.040904,0.006375,-0.002763,-0.004746,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,1678344350.455068,9.017327,-0.624869,-0.560765,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,-86.746687,-105.128884,-0.559209,-0.398709,0.590286,176.320565,-0.424122,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690309418.049945,-0.000559,0.003105,0.005349,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,1678344350.462568,9.833164,-0.172341,0.171594,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,-86.743426,-105.124775,-0.559139,-0.398771,0.590248,176.331230,-0.424208,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690309418.058378,0.005915,0.010473,-0.003852,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,1678344350.472568,9.816678,-0.846292,-0.016372,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,-86.742779,-105.027557,-0.559074,-0.398858,0.590151,176.256625,-0.424347,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690309418.066769,0.002184,0.005982,0.004088,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,1678344350.480068,9.991434,0.143187,-0.137967,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,-86.744275,-104.961547,-0.559032,-0.398935,0.590070,176.207826,-0.424443,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
