__time,/mti630/imu/angular_velocity/x,/mti630/imu/angular_velocity/y,/mti630/imu/angular_velocity/z,/mti630/imu/angular_velocity_covariance[0;0],/mti630/imu/angular_velocity_covariance[0;1],/mti630/imu/angular_velocity_covariance[0;2],/mti630/imu/angular_velocity_covariance[1;1],/mti630/imu/angular_velocity_covariance[1;2],/mti630/imu/angular_velocity_covariance[2;2],/mti630/imu/header/stamp,/mti630/imu/linear_acceleration/x,/mti630/imu/linear_acceleration/y,/mti630/imu/linear_acceleration/z,/mti630/imu/linear_acceleration_covariance[0;0],/mti630/imu/linear_acceleration_covariance[0;1],/mti630/imu/linear_acceleration_covariance[0;2],/mti630/imu/linear_acceleration_covariance[1;1],/mti630/imu/linear_acceleration_covariance[1;2],/mti630/imu/linear_acceleration_covariance[2;2],/mti630/imu/orientation/pitch_deg,/mti630/imu/orientation/roll_deg,/mti630/imu/orientation/w,/mti630/imu/orientation/x,/mti630/imu/orientation/y,/mti630/imu/orientation/yaw_deg,/mti630/imu/orientation/z,/mti630/imu/orientation_covariance[0;0],/mti630/imu/orientation_covariance[0;1],/mti630/imu/orientation_covariance[0;2],/mti630/imu/orientation_covariance[1;1],/mti630/imu/orientation_covariance[1;2],/mti630/imu/orientation_covariance[2;2],/triangulation_3D_pose/header/stamp,/triangulation_3D_pose/pose/covariance[0;0],/triangulation_3D_pose/pose/covariance[0;1],/triangulation_3D_pose/pose/covariance[0;2],/triangulation_3D_pose/pose/covariance[0;3],/triangulation_3D_pose/pose/covariance[0;4],/triangulation_3D_pose/pose/covariance[0;5],/triangulation_3D_pose/pose/covariance[1;1],/triangulation_3D_pose/pose/covariance[1;2],/triangulation_3D_pose/pose/covariance[1;3],/triangulation_3D_pose/pose/covariance[1;4],/triangulation_3D_pose/pose/covariance[1;5],/triangulation_3D_pose/pose/covariance[2;2],/triangulation_3D_pose/pose/covariance[2;3],/triangulation_3D_pose/pose/covariance[2;4],/triangulation_3D_pose/pose/covariance[2;5],/triangulation_3D_pose/pose/covariance[3;3],/triangulation_3D_pose/pose/covariance[3;4],/triangulation_3D_pose/pose/covariance[3;5],/triangulation_3D_pose/pose/covariance[4;4],/triangulation_3D_pose/pose/covariance[4;5],/triangulation_3D_pose/pose/covariance[5;5],/triangulation_3D_pose/pose/pose/orientation/pitch_deg,/triangulation_3D_pose/pose/pose/orientation/roll_deg,/triangulation_3D_pose/pose/pose/orientation/w,/triangulation_3D_pose/pose/pose/orientation/x,/triangulation_3D_pose/pose/pose/orientation/y,/triangulation_3D_pose/pose/pose/orientation/yaw_deg,/triangulation_3D_pose/pose/pose/orientation/z,/triangulation_3D_pose/pose/pose/position/x,/triangulation_3D_pose/pose/pose/position/y,/triangulation_3D_pose/pose/pose/position/z,/triangulation_3D_pose/twist/covariance[0;0],/triangulation_3D_pose/twist/covariance[0;1],/triangulation_3D_pose/twist/covariance[0;2],/triangulation_3D_pose/twist/covariance[0;3],/triangulation_3D_pose/twist/covariance[0;4],/triangulation_3D_pose/twist/covariance[0;5],/triangulation_3D_pose/twist/covariance[1;1],/triangulation_3D_pose/twist/covariance[1;2],/triangulation_3D_pose/twist/covariance[1;3],/triangulation_3D_pose/twist/covariance[1;4],/triangulation_3D_pose/twist/covariance[1;5],/triangulation_3D_pose/twist/covariance[2;2],/triangulation_3D_pose/twist/covariance[2;3],/triangulation_3D_pose/twist/covariance[2;4],/triangulation_3D_pose/twist/covariance[2;5],/triangulation_3D_pose/twist/covariance[3;3],/triangulation_3D_pose/twist/covariance[3;4],/triangulation_3D_pose/twist/covariance[3;5],/triangulation_3D_pose/twist/covariance[4;4],/triangulation_3D_pose/twist/covariance[4;5],/triangulation_3D_pose/twist/covariance[5;5],/triangulation_3D_pose/twist/twist/angular/x,/triangulation_3D_pose/twist/twist/angular/y,/triangulation_3D_pose/twist/twist/angular/z,/triangulation_3D_pose/twist/twist/linear/x,/triangulation_3D_pose/twist/twist/linear/y,/triangulation_3D_pose/twist/twist/linear/z
1690312190.652548,-0.001302,0.000236,0.001261,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,1678344328.135068,9.737897,-0.045020,-0.163192,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,-87.426793,-137.889042,-0.678366,-0.136164,0.705771,161.426192,-0.152205,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690312190.661386,0.002927,0.000597,-0.003304,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,1678344328.142568,9.755280,-0.123277,0.004474,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,-87.427572,-137.871749,-0.678352,-0.136261,0.705745,161.424894,-0.152302,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690312190.669850,0.002442,0.001102,0.001041,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,1678344328.160068,9.761143,-0.177433,-0.105496,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,-87.427047,-137.817839,-0.678306,-0.136481,0.705695,161.409101,-0.152542,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690312190.678460,-0.000535,0.001172,0.001105,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,1678344328.167568,9.832263,-0.214556,-0.180526,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,-87.427508,-137.779769,-0.678293,-0.136566,0.705669,161.386058,-0.152638,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690312190.687001,-0.001921,0.002039,0.000592,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,1678344328.175068,9.771872,-0.122204,0.016023,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,-87.426691,-137.768913,-0.678270,-0.136656,0.705654,161.390637,-0.152735,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690312190.687132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1678315273.646739,0.000200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000200,0.000000,0.000000,0.000000,0.000000,0.000200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000333,0.000040,0.000577,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1690312190.695593,0.003875,0.000056,-0.000438,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,1678344328.185068,9.794760,-0.059167,-0.181888,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,-87.427172,-137.724320,-0.678249,-0.136785,0.705618,161.368459,-0.152877,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690312190.704693,0.003349,-0.001265,0.000893,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,1678344328.192568,9.770656,-0.161433,-0.170141,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,-87.426842,-137.685357,-0.678232,-0.136871,0.705596,161.345167,-0.152980,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690312190.715497,0.001314,-0.000501,-0.000858,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,1678344328.200068,9.740710,-0.195054,-0.224316,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,-87.426887,-137.662415,-0.678215,-0.136960,0.705574,161.337552,-0.153076,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690312190.721710,0.002223,0.003696,-0.000805,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,1678344328.207568,9.805419,-0.185209,-0.199393,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,-87.427810,-137.629509,-0.678203,-0.137054,0.705545,161.320702,-0.153176,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
